ïgeographicidentifiercode,id2,geographicareaname,naicscode,meaningof2007naicscode,year,numberofestablishments,receipts1000,v9
0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2009,83306,5581639,-0.055843963
0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2009,54296,2813162,-0.007757598
0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2009,17091,874562,-0.080224601
0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2009,13045,671672,-0.061724532
0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2009,55263,2748922,-0.03445977
0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2009,15945,711330,-0.0250478
0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2009,9380,410607,-0.102268777
0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2009,6738,283227,-0.048149243
0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2009,6393,268838,-0.079923749
0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2009,4488,163453,-0.102522992
0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2009,25177,1183153,-0.02023455
0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2009,2523,77764,-0.117701786
0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2009,7374,269747,-0.074300441
0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2009,8832,314074,-0.065091787
0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2009,5736,230186,-0.062707158
0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2009,4863,169083,-0.119295157
0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2009,4395,155340,-0.052510232
0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2009,9599,340236,-0.080803469
0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2009,1352,43657,-0.166692117
0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2009,3200,104081,-0.127547214
0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2009,3433,111853,-0.123930888
0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2009,3889,124280,-0.129008746
0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2009,3914,132895,-0.099126886
0500000US23031,23031,"York County, Maine",0,Total for all sectors,2009,16331,664988,-0.076114275
0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2009,24321,1096402,-0.007561851
0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2009,10063,435235,0.063255175
0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2009,30699,1363561,0.076274324
0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2009,3383,166210,-0.092001683
0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2009,55609,2666299,0.099095018
0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2009,6224,208964,-0.008305096
0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2009,23539,1072875,0.086009195
0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2009,12651,479648,0.01695749
0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2009,121538,6105213,0.098779237
0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2009,2038,125592,-0.076210161
0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2009,51712,2876537,0.134346904
0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2009,34464,1628317,0.002310158
0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2009,45294,2407683,0.263618224
0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2009,49902,2163945,0.031700814
0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2009,5589,260513,-0.074498282
0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2009,5653,259089,-0.124356167
0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2009,5948,263198,-0.066650591
0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2009,2566,96282,-0.105975208
0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2009,8103,388385,-0.052398252
0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2009,28010,1386023,-0.051215704
0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2009,11326,522751,-0.038735528
0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2009,25607,1356039,-0.035693257
0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2009,7769,339223,-0.004644871
0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2009,3444,133363,-0.085772065
0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2009,4088,181557,0.052705735
0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2009,10942,481519,0.058991062
0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2009,7088,313383,-0.143073945
0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2009,39194,1596500,-0.003765908
0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2009,10787,475149,0.010630627
0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2009,3883,199851,0.349751798
0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2009,3772,147130,-0.092109566
0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2009,3025,106270,-0.104928913
0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2009,13310,594746,0.004640211
0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2009,566,20610,-0.085057267
0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2009,3573,133177,-0.059005992
0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2009,752,26457,0.006581951
0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2009,2641,97101,-0.087936654
0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2009,3025,104415,-0.154589176
0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2009,2508,85502,-0.157665557
0500000US50021,50021,"Rutland County, Vermont",0,Total for all sectors,2009,5241,177927,-0.035552833
0500000US50023,50023,"Washington County, Vermont",0,Total for all sectors,2009,6187,224424,-0.042326846
0500000US50025,50025,"Windham County, Vermont",0,Total for all sectors,2009,5481,193041,-0.044365678
0500000US50027,50027,"Windsor County, Vermont",0,Total for all sectors,2009,6286,230773,-0.052780423
0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2010,84224,5687810,0.019021474
0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2010,54638,2861993,0.017358048
0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2010,16926,877463,0.003317089
0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2010,12938,668377,-0.004905668
0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2010,55320,2746734,-0.000795948
0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2010,15886,715662,0.00609
0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2010,9209,409505,-0.002683831
0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2010,6652,275044,-0.028892019
0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2010,6278,264775,-0.015113191
0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2010,4365,162413,-0.006362685
0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2010,25324,1244904,0.052191897
0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2010,2508,81581,0.049084409
0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2010,7328,292208,0.083266913
0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2010,8549,309189,-0.015553659
0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2010,5648,246378,0.070343114
0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2010,4759,175254,0.036496868
0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2010,4385,154777,-0.003624308
0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2010,9477,340915,0.001995674
0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2010,1319,43531,-0.002886135
0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2010,3128,108879,0.046098712
0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2010,3380,113706,0.016566386
0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2010,3787,126635,0.018949147
0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2010,3896,144905,0.090372098
0500000US23031,23031,"York County, Maine",0,Total for all sectors,2010,16243,667158,0.003263217
0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2010,24384,1151556,0.050304542
0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2010,10072,451001,0.036224109
0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2010,30523,1354099,-0.006939184
0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2010,3396,176301,0.060712352
0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2010,56198,2649901,-0.006150098
0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2010,6068,208852,-0.000535977
0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2010,23295,1077313,0.004136549
0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2010,12472,483825,0.00870847
