County,Year,Hachman
9001,2010,0.886841029
9003,2010,0.887473586
9005,2010,0.903405174
9007,2010,0.898601754
9009,2010,0.891716588
9011,2010,0.91397491
9013,2010,0.911182102
9015,2010,0.913012184
23001,2010,0.912203468
23003,2010,0.938577821
23005,2010,0.886228733
23007,2010,0.926621788
23009,2010,0.923082046
23011,2010,0.908120839
23013,2010,0.934631032
23015,2010,0.940846077
23017,2010,0.919040006
23019,2010,0.902134951
23021,2010,0.943542188
23023,2010,0.917415225
23025,2010,0.923216056
23027,2010,0.916692396
23029,2010,0.930122218
23031,2010,0.923652297
25001,2010,0.919301096
25003,2010,0.914525266
25005,2010,0.901970694
25007,2010,0.941722483
25009,2010,0.890536335
25011,2010,0.904717575
25013,2010,0.895808754
25015,2010,0.900216919
25017,2010,0.896577915
25019,2010,0.964528555
25021,2010,0.888911581
25023,2010,0.896973832
25025,2010,0.908924254
25027,2010,0.89060734
33001,2010,0.915964393
33003,2010,0.932745662
33005,2010,0.913044894
33007,2010,0.926756047
33009,2010,0.902412749
33011,2010,0.883077259
33013,2010,0.897536299
33015,2010,0.889730969
33017,2010,0.900930436
33019,2010,0.918850286
44001,2010,0.904095988
44003,2010,0.890851589
44005,2010,0.909513911
44007,2010,0.887144025
44009,2010,0.90596311
50001,2010,0.917903517
50003,2010,0.915288038
50005,2010,0.920854953
50007,2010,0.892409982
50009,2010,0.951648792
50011,2010,0.919942957
50013,2010,0.93652504
50015,2010,0.915842623
50017,2010,0.915523688
50019,2010,0.919964319
50021,2010,0.913484042
50023,2010,0.905270677
50025,2010,0.907377228
50027,2010,0.908137154
9001,2011,0.886679911
9003,2011,0.888836416
9005,2011,0.904994364
9007,2011,0.899965887
9009,2011,0.893124045
9011,2011,0.914244119
9013,2011,0.909378416
9015,2011,0.912497812
23001,2011,0.910721654
23003,2011,0.93935368
23005,2011,0.886364052
23007,2011,0.927374451
23009,2011,0.923270409
23011,2011,0.90657928
23013,2011,0.936394262
23015,2011,0.938021255
23017,2011,0.919341413
23019,2011,0.900761221
23021,2011,0.940654454
23023,2011,0.918557978
23025,2011,0.924070356
