,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2011,26725,398342,8792757,31039729
21,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2012,26814,405226,9061976,31140794
42,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2013,26972,403375,8721602,30707090
63,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2014,27022,408854,9245720,31863974
84,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2015,27190,421295,10550590,35199773
105,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2010,27027,393952,8377092,30225781
126,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2011,22470,432172,6297931,23409971
147,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2012,22477,441095,6700048,24837114
168,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2013,22613,446375,6705668,25576762
189,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2014,22531,442655,7003434,25956731
210,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2015,22703,440169,7216726,26351778
231,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2010,22843,442369,5940104,23082813
252,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2011,4909,51070,465477,2050328
273,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2012,4847,51703,478951,2042977
294,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2013,4782,51115,471431,2044029
315,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2014,4781,52087,484822,2115820
336,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2015,4806,51957,486220,2180278
357,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2010,4969,51583,442776,2003218
378,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2011,4139,58100,617703,2538946
399,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2012,4161,59873,641562,2676490
420,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2013,4147,60406,655162,2764963
441,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2014,4161,61384,670308,2867411
462,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2015,4202,60899,669132,2922831
483,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2010,4220,57798,583472,2406047
504,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2011,19261,325467,3687158,15242931
525,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2012,19360,325990,3936050,15814102
546,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2013,19431,331081,3973417,16251990
567,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2014,19467,338587,4115842,16613901
588,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2015,19566,335845,4145788,16945013
609,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2010,19607,321031,3552361,15058976
630,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2011,5675,105276,1220094,4777065
651,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2012,5706,104801,1250898,4779853
672,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2013,5698,103244,1235982,5107136
693,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2014,5732,102281,1235341,4882308
714,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2015,5805,102909,1322117,5096430
735,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2010,5791,107017,1206476,4738808
756,0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2011,2398,29450,238805,1059292
777,0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2012,2416,30296,247846,1052491
798,0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2013,2398,30798,249891,1070343
819,0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2014,2418,32223,271419,1170235
840,0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2015,2433,32903,271585,1163627
861,0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2010,2486,29156,228140,1014366
882,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2011,2097,28805,254935,1085258
903,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2012,2099,29886,267215,1126489
924,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2013,2092,29397,266684,1129300
945,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2014,2052,30180,274144,1175558
966,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2015,2048,30354,269964,1177874
987,0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2010,2149,28270,226225,1005447
1008,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2011,2749,43155,363998,1544995
1028,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2012,2693,44673,387356,1659609
1048,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2013,2678,43936,380787,1604017
1068,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2014,2667,44283,396968,1681322
1088,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2015,2706,45347,408020,1763849
1108,0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2010,2767,43808,345286,1505623
1128,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2011,2005,22038,166231,685100
1149,0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2012,2000,20838,159596,653018
