,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)",,rate
8292,0100000US,1,United States,0,Total for all sectors,2010,7396628,111970095,1200243637,4940983369,,#VALUE!
8313,0100000US,1,United States,0,Total for all sectors,2011,7354043,113425965,1278564448,5164897905,,0.013002311
8334,0100000US,1,United States,0,Total for all sectors,2012,7431808,115938468,1364679729,5414255995,,0.022151039
8355,0100000US,1,United States,0,Total for all sectors,2013,7488353,118266253,1411380886,5621697325,,0.020077762
8376,0100000US,1,United States,0,Total for all sectors,2014,7563084,121069944,1504360589,5940186911,,0.023706602
8397,0100000US,1,United States,0,Total for all sectors,2015,7663938,124085947,1576288214,6253488252,,0.024911245
105,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2010,27027,393952,8377092,30225781,,-0.996825168
0,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2011,26725,398342,8792757,31039729,,0.01114349
21,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2012,26814,405226,9061976,31140794,,0.017281632
42,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2013,26972,403375,8721602,30707090,,-0.004567821
63,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2014,27022,408854,9245720,31863974,,0.013582894
84,0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2015,27190,421295,10550590,35199773,,0.030428955
231,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2010,22843,442369,5940104,23082813,,0.050021956
126,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2011,22470,432172,6297931,23409971,,-0.023050892
147,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2012,22477,441095,6700048,24837114,,0.020646872
168,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2013,22613,446375,6705668,25576762,,0.01197021
189,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2014,22531,442655,7003434,25956731,,-0.0083338
210,0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2015,22703,440169,7216726,26351778,,-0.005616112
357,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2010,4969,51583,442776,2003218,,-0.88281092
252,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2011,4909,51070,465477,2050328,,-0.009945137
273,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2012,4847,51703,478951,2042977,,0.012394752
294,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2013,4782,51115,471431,2044029,,-0.011372648
315,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2014,4781,52087,484822,2115820,,0.019015944
336,0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2015,4806,51957,486220,2180278,,-0.002495824
483,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2010,4220,57798,583472,2406047,,0.112419886
378,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2011,4139,58100,617703,2538946,,0.005225094
399,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2012,4161,59873,641562,2676490,,0.030516351
420,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2013,4147,60406,655162,2764963,,0.008902176
441,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2014,4161,61384,670308,2867411,,0.016190445
462,0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2015,4202,60899,669132,2922831,,-0.007901082
609,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2010,19607,321031,3552361,15058976,,4.271531552
504,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2011,19261,325467,3687158,15242931,,0.01381798
525,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2012,19360,325990,3936050,15814102,,0.001606922
546,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2013,19431,331081,3973417,16251990,,0.015617043
567,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2014,19467,338587,4115842,16613901,,0.022671189
588,0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2015,19566,335845,4145788,16945013,,-0.008098362
735,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2010,5791,107017,1206476,4738808,,-0.681350028
630,0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2011,5675,105276,1220094,4777065,,-0.016268443
